日期,收盘,开盘,高,低,交易量,涨跌幅
2017年8月28日,59.13,59.33,59.48,58.78,2.38M,-0.15%
2017年8月29日,59.08,58.82,59.38,58.71,2.83M,-0.08%
2017年8月30日,59.17,58.86,59.23,58.69,2.86M,0.15%
2017年8月31日,59.7,59.47,59.9,59.29,3.73M,0.90%
2017年9月1日,59.75,59.69,59.92,59.28,2.64M,0.08%
2017年9月5日,60.72,60,60.75,59.97,4.62M,1.62%
2017年9月6日,61.62,60.92,62.04,60.85,4.09M,1.48%
2017年9月7日,61.86,61.59,62.05,61.36,4.04M,0.39%
2017年9月8日,60.24,60.78,60.93,59.78,3.50M,-2.62%
2017年9月11日,60.41,60.36,60.67,60.12,4.40M,0.28%
2017年9月12日,60.78,60.35,60.98,60.28,4.44M,0.61%
2017年9月13日,61.55,61.1,61.6,60.9,4.14M,1.27%
2017年9月14日,61.58,61.68,62.43,61.4,4.77M,0.05%
2017年9月15日,61.35,61.58,61.72,61.22,5.29M,-0.37%
2017年9月18日,61.8,61.28,61.95,61.09,4.19M,0.73%
2017年9月19日,61.86,61.8,62.15,61.59,3.22M,0.10%
2017年9月20日,62.49,62.1,62.86,62,3.52M,1.02%
2017年9月21日,62.75,62.38,62.95,62.24,2.68M,0.42%
2017年9月22日,62.94,62.69,63.49,62.56,3.41M,0.30%
2017年9月25日,64.58,63.35,64.97,63.26,5.16M,2.61%
2017年9月26日,64.44,64.25,64.64,64.1,3.43M,-0.22%
2017年9月27日,65.19,64.53,65.2,64.24,3.52M,1.16%
2017年9月28日,64.97,65.17,65.7,64.86,3.39M,-0.34%
2017年9月29日,64.21,64.66,64.77,64.14,3.56M,-1.17%
2017年10月2日,64.11,63.81,64.15,63.47,2.78M,-0.16%
2017年10月3日,63.98,64.1,64.14,63.61,1.86M,-0.20%
2017年10月4日,64.39,64.06,64.48,63.57,3.36M,0.64%
2017年10月5日,64.35,64.4,64.55,64.13,3.03M,-0.06%
2017年10月6日,63.91,63.91,64.18,63.7,2.30M,-0.68%
2017年10月9日,64,64.08,64.41,63.79,3.12M,0.14%
2017年10月10日,64.5,64.38,64.95,64.34,3.44M,0.78%
2017年10月11日,64.39,64.55,64.71,64.14,2.04M,-0.17%
2017年10月12日,64.22,64.17,64.31,63.9,3.10M,-0.26%
2017年10月13日,64.73,64.73,65.22,64.66,3.38M,0.79%
2017年10月16日,64.77,65.03,65.12,64.54,2.67M,0.06%
2017年10月17日,64.64,64.83,64.92,64.23,3.09M,-0.20%
2017年10月18日,64.63,64.63,65,64.43,2.90M,-0.02%
2017年10月19日,64.84,64.31,65,64.2,3.57M,0.32%
2017年10月20日,65.47,65.12,65.59,64.87,4.52M,0.97%
2017年10月23日,65.05,65.49,65.64,64.86,3.41M,-0.64%
2017年10月24日,65.82,65.3,66.11,65.12,6.59M,1.18%
2017年10月25日,65.35,65.67,66.24,64.92,6.91M,-0.71%
2017年10月26日,64.62,65.42,65.67,64.38,4.45M,-1.12%
2017年10月27日,65.05,64.02,65.43,63.65,5.06M,0.67%
