time,LSTM,CNN,GRU,bilstm,cnn-bilstm,cnn-gru,cnn-gru-attention,emd-cnn-gru-attention,eemd-cnn-gru-attention,iceemdan-cnn-gru-attention,vmd-cnn-gru-attention,iceemdan-cnn-gru-attention-arima,vmd-cnn-gru-attention-arima,vmd-cnn-gru-attention-vmd-arima,
2017/9/6 23:45,1.225783328,1.0631777,1.1324387,0.48284245,1.1181093,0.83174664,0.37885475,1.393508,-0.39651477,1.225783328,0.135289593,0.135289593,0.078980915,-0.024385943,
2017/9/7 0:00,1.567696542,1.0557162,1.1342554,0.48205188,1.1290852,0.83929592,0.38438088,2.0589957,-0.43336448,1.567696542,0.411870345,0.411870345,0.119119908,0.162642819,
2017/9/7 0:15,1.79220157,1.1556938,1.1879406,0.56182098,1.1842552,0.89570767,0.41044503,2.6111114,-0.46756619,1.79220157,0.596841235,0.596841235,0.291299987,-0.037942445,
2017/9/7 0:30,1.97211679,1.0565003,1.119771,0.48179689,1.1172739,0.82818276,0.37589663,3.2234521,-0.52884239,1.97211679,0.71755173,0.71755173,-0.207960364,0.064533586,
2017/9/7 0:45,2.142701709,1.0294125,1.1115789,0.45806438,1.1111962,0.82620674,0.37402251,3.844187,-0.61029017,2.142701709,0.989820879,0.989820879,0.144983298,-0.014601196,
2017/9/7 1:00,2.323529147,1.0443561,1.1119184,0.45925823,1.1190382,0.82906204,0.37839219,5.2948918,-0.5901655,2.323529147,0.991685802,0.991685802,-0.343095658,0.07329136,
2017/9/7 1:15,2.418335405,1.0517045,1.1119061,0.46988526,1.1248595,0.83547741,0.38117003,6.8763838,-0.56638867,2.418335405,0.950959904,0.950959904,0.129930107,-0.004187646,
2017/9/7 1:30,2.460128068,1.0424547,1.1085663,0.46262631,1.120032,0.83326775,0.37952155,8.3182821,-0.47599134,2.460128068,0.975326789,0.975326789,-0.316671908,0.067662428,
2017/9/7 1:45,2.429617402,1.0350616,1.1107092,0.45490721,1.1185786,0.82955891,0.38040191,9.452776,-0.42154962,2.429617402,1.151759132,1.151759132,0.228005058,-0.008306325,
2017/9/7 2:00,2.312556394,1.0336089,1.1121016,0.45724377,1.1185786,0.82955891,0.38031143,10.182385,-0.45779034,2.312556394,1.134459706,1.134459706,0.267440945,0.085492841,
2017/9/7 2:15,2.168290644,1.046885,1.1098938,0.46153152,1.1185786,0.82955891,0.37990877,10.483553,-0.42767829,2.168290644,1.003464175,1.003464175,-0.288621204,-0.005723505,
2017/9/7 2:30,1.939990748,1.040019,1.1058636,0.4610343,1.1185786,0.82955891,0.37980974,10.427962,-0.49808675,1.939990748,1.025589647,1.025589647,-0.06799149,0.072552691,
2017/9/7 2:45,1.57701562,1.0381548,1.1074257,0.45792633,1.1185786,0.82955891,0.3796933,9.935463,-0.58327115,1.57701562,0.808689525,0.808689525,-0.449729137,-0.009638181,
2017/9/7 3:00,1.268746552,1.0381548,1.1074257,0.45792633,1.1185786,0.82955891,0.3796933,8.9012737,-0.52850443,1.268746552,0.76618037,0.76618037,0.132723196,0.101822393,
2017/9/7 3:15,1.65876486,1.0381548,1.1074257,0.45792633,1.1185786,0.82955891,0.3796933,7.345397,0.40790763,1.65876486,1.503178166,1.503178166,0.676354143,0.727514436,
2017/9/7 3:30,2.463013101,1.6282792,1.536025,0.98127902,1.5263878,1.2248303,0.77650797,5.2791724,1.8930852,2.463013101,2.396087863,2.396087863,2.196559369,2.193970988,
2017/9/7 3:45,1.918010816,2.8424146,2.4712582,2.1086195,2.4133382,2.0800691,1.9889597,2.3959692,2.3621783,1.918010816,2.176636059,2.176636059,3.174457659,2.641431348,
2017/9/7 4:00,-0.369523242,3.3084357,2.8742075,2.615098,2.6642098,2.3331017,2.4236445,0.22410083,1.0942385,-0.369523242,0.492681969,0.492681969,1.199934099,0.633079521,
2017/9/7 4:15,-1.496433992,1.4680302,1.4651995,1.0033978,1.1881357,0.92334324,0.47384483,0.057157516,0.21328428,-1.496433992,-0.304028685,-0.304028685,0.682756421,0.303364158,
2017/9/7 4:30,-1.361299595,1.0732615,1.1551142,0.51922089,1.0797621,0.83154351,0.40043613,-0.74160695,0.42394111,-1.361299595,0.092826368,0.092826368,1.106695395,0.627111921,
2017/9/7 4:45,-0.647521301,1.4266368,1.4362907,0.81116295,1.4855162,1.174276,0.56389081,-0.48535895,0.91429943,-0.647521301,0.895694794,0.895694794,1.946114489,1.537231194,
2017/9/7 5:00,0.51680055,2.4516912,2.209343,1.7210668,2.1683526,1.8739506,1.5137875,1.4345655,1.5998709,0.51680055,1.856760685,1.856760685,2.875651435,2.705177323,
2017/9/7 5:15,2.137708208,3.3268497,2.9953108,2.6012812,2.7968745,2.5134349,2.4780524,3.5396256,1.8947296,2.137708208,3.64336024,3.64336024,3.583116552,3.583077487,
2017/9/7 5:30,2.901925827,4.0005298,3.6900806,3.3023739,3.3038454,2.9793572,3.311372,5.4175801,1.2767079,2.901925827,3.791644562,3.791644562,3.468418833,3.348302413,
2017/9/7 5:45,2.574387576,3.8992388,3.5035906,3.2454379,2.9707274,2.6682363,2.9565856,6.8854694,0.23815852,2.574387576,2.708756357,2.708756357,2.065469864,1.542312912,
2017/9/7 6:00,2.245978384,2.4883158,2.1706352,1.9205083,1.7573467,1.4949147,1.2190479,7.9111519,-0.47736543,2.245978384,1.454963781,1.454963781,0.558672825,0.529043276,
2017/9/7 6:15,1.936041309,1.4733175,1.439106,0.96386474,1.3089825,1.0647446,0.52107108,8.3660717,-0.50131255,1.936041309,0.364994422,0.364994422,0.261208014,0.085049737,
2017/9/7 6:30,1.987257862,1.1181885,1.3221731,0.55561721,1.2700402,1.0053622,0.4777227,8.5027685,0.12580821,1.987257862,0.842011247,0.842011247,0.574176171,0.166869041,
2017/9/7 6:45,3.161871141,1.180142,1.4794559,0.5859651,1.3437096,1.0903136,0.57568455,9.2630634,1.9416014,3.161871141,2.219753591,2.219753591,1.894307958,1.591836288,
2017/9/7 7:00,5.721037786,2.4379339,2.4452438,1.7204431,2.2160888,1.9478098,1.6663404,10.389309,4.3370523,5.721037786,5.025234664,5.025234664,5.376250722,5.275702946,
2017/9/7 7:15,7.072747318,5.6257305,5.0001931,4.6930723,5.0022769,4.6152315,5.0161695,11.311083,5.4787893,7.072747318,6.992049258,6.992049258,5.676583024,4.789716969,
2017/9/7 7:30,8.100320937,5.5571499,4.8865814,4.8587456,4.3347764,3.9560227,4.6587067,10.178988,6.2812829,8.100320937,7.363316407,7.363316407,5.247027613,5.08571814,
2017/9/7 7:45,9.406072442,5.5046053,4.7014194,4.7697544,4.0425377,3.7951503,4.5055094,7.3712091,7.6418157,9.406072442,7.604229463,7.604229463,6.845576816,7.215727746,
2017/9/7 8:00,11.48800848,7.3265429,6.4762836,6.4697695,6.454803,6.0881052,6.5180745,4.7660341,10.124817,11.48800848,9.946871136,9.946871136,8.143464809,8.554751298,
2017/9/7 8:15,19.2762033,8.9007101,8.1769028,8.0051098,8.4090033,7.9782381,8.1720581,9.4913435,17.856239,19.2762033,17.98218393,17.98218393,15.40813208,16.31502267,
2017/9/7 8:30,29.91932012,15.906274,15.651603,14.497755,16.432802,15.532901,15.689154,22.170935,28.586702,29.91932012,29.15333868,29.15333868,30.71735281,31.74141696,
2017/9/7 8:45,37.80037528,29.090969,28.562557,27.166327,31.574436,29.562401,29.947403,36.51741,36.446518,37.80037528,38.91467909,38.91467909,41.95520717,42.16651162,
2017/9/7 9:00,38.11571355,37.9109,35.909584,36.015507,39.724224,36.56929,39.262436,42.217892,37.885937,38.11571355,41.7884971,41.7884971,45.05429208,44.80769178,
2017/9/7 9:15,37.19194341,40.1646,38.292088,38.625866,40.852074,37.693314,41.286667,44.243874,37.645489,37.19194341,42.67864244,42.67864244,44.67084515,45.51793287,
2017/9/7 9:30,34.88391512,40.578209,38.258259,39.420807,41.088951,38.107388,41.505913,40.568542,34.827522,34.88391512,40.56327362,40.56327362,38.26154915,38.86097896,
2017/9/7 9:45,35.76340324,36.160522,34.151047,35.766941,36.886845,34.311951,36.083687,35.1745,34.208069,35.76340324,38.46897175,38.46897175,39.36417376,39.74304221,
2017/9/7 10:00,36.98721861,37.3932,33.064034,36.460239,38.518589,35.118454,36.985508,37.228027,35.031685,36.98721861,37.73675972,37.73675972,36.79084187,36.31333497,
2017/9/7 10:15,38.38762974,34.569183,29.521318,34.102116,35.488373,31.966246,34.682819,38.456593,35.881809,38.38762974,37.52780732,37.52780732,38.57217445,38.58384591,
2017/9/7 10:30,37.78215598,36.178581,29.258398,35.387352,38.217571,34.148945,37.044304,34.861023,36.684105,37.78215598,36.07395563,36.07395563,36.08013261,34.86363475,
2017/9/7 10:45,37.60212677,33.657085,27.041445,33.148441,34.079918,30.531357,33.894432,50.155117,38.024757,37.60212677,37.19256106,37.19256106,39.59485675,40.57107613,
2017/9/7 11:00,20.64874884,38.418037,28.860014,37.353542,39.417229,35.463177,38.777802,34.925541,21.78808,20.64874884,19.90269916,19.90269916,17.85253054,14.27390221,
2017/9/7 11:15,13.43274125,17.491159,16.162113,18.40888,14.941576,12.604068,15.186973,5.9350147,12.153591,13.43274125,12.52410809,12.52410809,14.76764166,15.29406658,
2017/9/7 11:30,15.51001097,17.350763,15.721127,16.377914,17.57398,15.221761,14.747015,9.2243776,12.847103,15.51001097,12.93474224,12.93474224,12.36240333,13.56961573,
2017/9/7 11:45,11.67181224,15.69211,14.365041,15.426269,14.332473,12.621787,14.486994,13.536916,10.219765,11.67181224,11.66666485,11.66666485,14.75827546,14.25040394,
