time,LSTM,CNN,GRU,bilstm,cnn-bilstm,cnn-gru,cnn-gru-attention,emd-cnn-gru-attention,eemd-cnn-gru-attention,iceemdan-cnn-gru-attention,vmd-cnn-gru-attention,iceemdan-cnn-gru-attention-arima,vmd-cnn-gru-attention-arima,vmd-cnn-gru-attention-vmd-arima
2017/9/6 23:45,0.89779717,0.49652186,0.49652186,0.52604431,0.67773622,0.22048661,0.28999248,-0.52482533,-0.28842005,0.320338249,0.440361857,0.1664,0.440361857,0.440361857
2017/9/7 0:00,0.91886216,0.451704,0.451704,0.48511806,0.58831686,0.15299651,0.28553161,-0.54389596,-0.31981894,0.19695864,0.299222314,8.33E-17,0.299222314,0.299222314
2017/9/7 0:15,0.84103256,0.3525877,0.3525877,0.3827599,0.62488407,0.16166779,0.22018489,-0.5236783,-0.34445822,0.19697083,0.351388606,0.034667,0.351388606,0.351388606
2017/9/7 0:30,0.7604723,0.30732715,0.30732715,0.33722055,0.61132807,0.13847634,0.1945169,-0.50762868,-0.27918524,0.324225937,0.48852884,0.27456,0.48852884,0.48852884
2017/9/7 0:45,0.84839147,0.43897137,0.43897137,0.46985039,0.67315334,0.23572108,0.41595677,-0.55046058,-0.29484001,0.168808696,0.328589273,-8.60E-16,0.328589273,0.328589273
2017/9/7 1:00,0.78397405,0.30989766,0.30989766,0.34460512,0.62613672,0.1535401,0.23153692,-0.61701226,-0.36009622,0.09133605,0.285357643,-4.16E-16,0.285357643,0.285357643
2017/9/7 1:15,0.74402738,0.25687262,0.25687262,0.2900849,0.62871498,0.14095446,0.12995447,-0.65596581,-0.45558333,0.092323664,0.165104966,-2.36E-16,0.165104966,0.165104966
2017/9/7 1:30,0.72839969,0.25694111,0.25694111,0.28851473,0.4909825,0.044596165,0.12188803,-0.73407578,-0.53706849,0.084738673,0.257228279,3.89E-16,0.257228279,0.257228279
2017/9/7 1:45,0.76749814,0.29652175,0.29652175,0.32869458,0.5760712,0.12754723,0.22834122,-0.78213143,-0.48027319,0.074784576,0.177639456,-0.167776256,0.177639456,0.177639456
2017/9/7 2:00,0.7354753,0.29043508,0.29043508,0.32106707,0.60918802,0.12622592,0.18840757,-0.77499771,-0.44405237,0.122002909,0.259120165,0.022275142,0.259120165,0.259120165
2017/9/7 2:15,0.70079803,0.2194092,0.2194092,0.24765086,0.55075687,0.088003606,0.12957312,-0.75170231,-0.49142104,0.06277707,0.232769605,-0.071566647,0.232769605,0.232769605
2017/9/7 2:30,0.7252019,0.28081587,0.28081587,0.31040108,0.55075687,0.088003606,0.15418966,-0.59217429,-0.41167167,0.06133033,0.287530674,-0.034042577,0.287530674,0.287530674
2017/9/7 2:45,0.74129379,0.25862786,0.25862786,0.28858852,0.55075687,0.088003606,0.1500499,-0.40656161,-0.18627195,0.272552573,0.234341692,0.075578271,0.234341692,0.234341692
2017/9/7 3:00,0.73360592,0.28078243,0.28078243,0.30731818,0.55215496,0.090433091,0.15247692,-0.096541166,0.28538531,0.99260094,1.023477483,0.972536785,1.023477483,1.023477483
2017/9/7 3:15,1.2420628,1.0982183,1.0982183,1.112191,1.0311146,0.63319248,1.0526522,0.44449687,0.79715079,1.57173711,1.125497783,1.301589507,1.125497783,1.125497783
2017/9/7 3:30,1.4226131,1.1559755,1.1559755,1.1695727,1.0165405,0.61691755,1.0163119,1.1326377,1.0793897,2.30461874,2.157942142,2.31779733,2.157942142,2.157942142
2017/9/7 3:45,2.1706901,2.2417009,2.2417009,2.235441,1.928246,1.5618577,1.9667778,1.0243847,0.96227491,1.819241227,1.493118483,1.543380581,1.493118483,1.493118483
